Scenario,Naive,RF,Ridge
BASE,0.037964860466595717,0.06099144353511925,0.05557518291567942
FinBERT,0.037964860466595717,0.060372526642257174,0.06599750201791052
PCA_ALL,0.037964860466595717,0.05857172362148576,0.058214119391065355
PCA_FinBERT,0.037964860466595717,0.061059486600694025,0.05588719783114391
PCA_VADER,0.037964860466595717,0.05982296216369445,0.05870179077400737
VADER,0.037964860466595717,0.06195159765073094,0.06855134624774821
